PRODUCT,DATE,SUMMARY,SENTIMENT_SCORE,Order ID
Alpine Skis,2023-10-30,"The skis have durability issues, with edges delaminating after ten days and excessive topsheet wear, compromising performance and structural integrity. The manufacturer's warranty response has been unsatisfactory.",-0.86290675,2031
Thermal Gloves,2023-11-10,"The waterproof gloves suffered from major failures after three days of use, with water penetrating through the shell and causing hands to get soaked during a mild snowfall. The leather treatment and dye quality were inconsistent, leading to color transfer onto other equipment and potential staining. Additionally, there were issues with inconsistent stitching and sizing between the left and right gloves. The premium price point of $150 was not justified due to these significant quality control issues.",-0.8224165,2029
Insulated Jacket,2023-12-09,"The insulated jacket was purchased for winter activities like snowshoeing and skiing, but its breathability was inadequate during sustained aerobic efforts, causing rapid overheating and discomfort. The jacket trapped moisture and heat, leading to potential safety issues and decreased performance. It was unsuitable for strenuous winter sports.",-0.7224479,2064
Mountain Series Helmet,2023-11-02,"The received garment was significantly smaller than expected, causing frustration due to size discrepancies between the published size chart and the actual product. The return process was complicated by glitches in the online portal and unresponsive customer service, who initially required the customer to pay for return shipping despite the sizing error being the company's fault. Despite promising features and high-quality materials, the garment's performance and durability couldn't be evaluated due to the sizing issues. The overall experience was disappointing for a premium brand.",-0.69523174,2050
Performance Racing Skis,2023-10-25,"The expensive skis, priced over $800, have underperformed, with significant chatter and vibration at high speeds on hard-packed snow. Durability issues include edge wear and a soft base material. The factory tune required professional tuning and had inconsistent edge angles. The skis lack the responsiveness and precision expected from high-end racing equipment. While suitable for casual resort skiing, they fail to meet expectations as racing skis. The brand's reputation in racing circles is disappointingly not reflected in the product's quality.",-0.6056858,2049
Thermal Gloves,2023-11-12,"The thermal gloves underperformed during the winter season, providing inadequate warmth below teens Fahrenheit, poor breathability leading to clammy hands, compromised dexterity, and lacking weather protection. The fit was clumsy, and durability was questionable. Overall, the gloves failed to deliver reliable comfort or function, offering poor value compared to other options.",-0.5509174,2047
Thermal Gloves,2023-10-21,"The gloves have disappointing durability and functionality issues. The stitching around the thumb unraveled after two weeks of regular use, and the touchscreen functionality is inconsistent, requiring multiple taps to register inputs. These issues are unacceptable for gloves at this price range, and there are better options available.",-0.5243087,2071
Avalanche Safety Pack,2023-11-12,"The reviewer identified several issues with the backpack's quality, including loose stitching, poorly secured airbag handle, misalignment on zippers, and irregular stitching on reinforcement areas. The backpack's reliability is a concern for mountain safety, and the return process was complicated despite the obvious flaws.",-0.5121852,2001
Alpine Base Layer,2023-11-08,"The received base layer has inconsistent sizing, with a tighter fit in the shoulders and longer torso compared to other products from the same brand. The seams are itchy against bare skin, particularly during high-output activities. The fabric pills easily and deteriorates quickly after washing, giving it a worn appearance. Despite effective moisture-wicking performance, there are better and more affordable alternatives with better durability and more comfortable seam construction.",-0.49440017,2043
Alpine Base Layer,2023-12-17,"The Alpine Base Layer's fabric blend offers decent warmth and moisture-wicking, but its significant fit and design issues make it uncomfortable for active use. The torso length is too short, causing the hem to ride up and restrict range of motion. The shoulders and arms also feel restrictive, and some seam placements are bulky or poorly positioned. These problems detract from comfort and layering efficiency, making it difficult to recommend, especially for those with longer torsos or broader shoulders.",-0.44293836,2041
Carbon Fiber Poles,2023-11-04,"The carbon fiber poles are lightweight but lack durability and come without spare baskets or replacement tips, making the high price tag questionable. Traditional aluminum poles are a more cost-effective option with longer lifespan and readily available replacement parts.",-0.41231614,2040
Ski Goggles,2023-11-05,"The goggles developed multiple scratches on the lenses despite careful use and proper storage within six days of skiing. The anti-fog coating was effective, but the durability was disappointing, as the scratches affected the field of vision. Expected better durability given the premium price point and advertised scratch-resistant coating. Previous goggles from a competitor brand lasted longer.",-0.4075198,2038
Carbon Fiber Poles,2023-12-02,"The author bought carbon fiber poles for their light weight but experienced a sudden and irreparable breakage during resort skiing, raising concerns about their practicality and value for general use due to their fragility and high cost compared to durable aluminum options.",-0.39202198,2037
Alpine Base Layer,2023-12-17,"The Alpine Base Layer was initially comfortable and effective at managing moisture and providing warmth. However, its long-term durability was disappointing, with noticeable pilling, loss of shape and elasticity, and minor seam failures after a season and a half of use. Despite its initial positive attributes, the poor long-term durability made its overall value questionable compared to more robust alternatives.",-0.35259178,2073
